Host,Species,Assembly,SRA_Accession,Submitters,Release_Date,Isolate,Genus,Family,Molecule_type,Sequence_Type,Genotype,Segment,Publications,Geo_Location,Country,USA,Isolation_Source,Collection_Date,BioSample,GenBank_Title,Species_superkingdom,Species_clade,Species_kingdom,Species_phylum,Species_class,Species_order,Species_family,Species_genus,Species_species,Species_no rank,Host_no rank,Host_superkingdom,Host_clade,Host_kingdom,Host_phylum,Host_subphylum,Host_superclass,Host_class,Host_infraclass,Host_order,Host_family,Host_genus,Host_species,Host_superorder,Host_suborder,Host_subfamily,Host_superfamily,Host_subspecies,Host_subclass,Host_cohort,Host_infraorder,Host_tribe,Host_subgenus,Host_parvorder,Host_subcohort
Neodon clarkei,Rodent associated circovirus 3,GCF_004787995.1,NA,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T15:56:18Z,RtMc-CV-2/Tibet2014,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2014-12,NA,ASM478799v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Rodent associated circovirus 3,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Cricetidae,Neodon,Neodon clarkei,Euarchontoglires,Myomorpha,Arvicolinae,,,,,,,,,
Niviventer eha,Rodent associated circovirus 5,GCF_004787895.1,NA,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T15:55:31Z,RtNe-CV/YN2013,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2013-07,NA,ASM478789v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Rodent associated circovirus 5,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Muridae,Niviventer,Niviventer eha,Euarchontoglires,Myomorpha,Murinae,,,,,,,,,
Orientallactaga sibirica,Rodent associated circovirus 4,GCF_004787935.1,NA,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T15:55:50Z,RtAs-CV/IM2014,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2014-05,NA,ASM478793v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Rodent associated circovirus 4,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Dipodoidea,Orientallactaga,Orientallactaga sibirica,Euarchontoglires,Myomorpha,Allactaginae,Dipodoidea,,,,,,,,
Orthetrum sabina,Dragonfly associated cyclovirus 8,GCF_002820025.1,NA,"Dayaram,A., Potter,K.A., Moline,A.B., Rosenstein,D.D., Marinov,M., Thomas,J.E., Breitbart,M., Rosario,K., Arguello-Astorga,G.R., Varsani,A., Potter,K., Argueello-Astorga,G.R.",2018-08-25T01:03:33Z,DfCyV-8_AU-DFB007B-2010,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Australia,Australia,NA,NA,2010-04,NA,ASM282002v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Dragonfly associated cyclovirus 8,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Hexapoda,Insecta,Insecta,Palaeoptera,Odonata,Cavilabiata,Orthetrum,Orthetrum sabina,,Epiprocta,,Cavilabiata,,Pterygota,,Anisoptera,,,,
Paguma larvata,Civet circovirus,GCF_004130795.1,NA,"Nishizawa,T., Sugimoto,Y., Takeda,T., Kodera,Y., Hatano,Y., Takahashi,M., Okamoto,H.",2019-02-12T14:26:56Z,Pl-CV3,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Japan:Tochigi,Japan,NA,blood,2015-05-07,NA,ASM413079v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Civet circovirus,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Viverridae,Paguma,Paguma larvata,Laurasiatheria,Feliformia,Paradoxurinae,,,,,,,,,
Paguroidea,Hermit crab associated circular virus,GCF_001274285.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:05:52Z,I0085A4,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293707,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Hermit crab associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,,Eucarida,Paguroidea,,,Eucarida,Pleocyemata,,Paguroidea,,Eumalacostraca,,Anomura,,,,
Paguroidea,Hermit crab associated circular genome,GCF_001274105.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:03:10Z,I0085b,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293724,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Hermit crab associated circular genome,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,,Eucarida,Paguroidea,,,Eucarida,Pleocyemata,,Paguroidea,,Eumalacostraca,,Anomura,,,,
Palaemon,Palaemonetes sp. common grass shrimp associated circular virus,GCF_001275275.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-27T01:00:23Z,I0006H,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293729,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Palaemonetes sp. common grass shrimp associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,,Eucarida,Palaemonoidea,Palaemon,,Eucarida,Pleocyemata,,Palaemonoidea,,Eumalacostraca,,Caridea,,,,
Palaemon kadiakensis,Palaemonetes kadiakensis Mississippi grass shrimp associated circular virus,GCF_001274485.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:08:47Z,I0099,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293730,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Palaemonetes kadiakensis Mississippi grass shrimp associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,,Eucarida,Palaemonoidea,Palaemon,Palaemon kadiakensis,Eucarida,Pleocyemata,,Palaemonoidea,,Eumalacostraca,,Caridea,,,,
Palaemon mundusnovus,Palaemonetes intermedius brackish grass shrimp associated circular virus,GCF_001274265.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:06:02Z,I0059,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293731,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Palaemonetes intermedius brackish grass shrimp associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,,Eucarida,Palaemonoidea,Palaemon,Palaemon mundusnovus,Eucarida,Pleocyemata,,Palaemonoidea,,Eumalacostraca,,Caridea,,,,
Pan troglodytes,Chimpanzee faeces associated circular DNA virus 1,GCF_001684725.1,NA,"Walters,M., Bawuro,M., Christopher,A., Knight,A., Chapman,H., Stainton,D., Kraberger,S., Varsani,A.",2016-07-14T01:01:27Z,CPNG_29286,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Nigeria,Nigeria,NA,NA,2013,NA,ViralProj328667,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Chimpanzee faeces associated circular DNA virus 1,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Pan,Pan troglodytes,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Pan troglodytes,Chimpanzee associated circovirus 1,GCF_002819585.1,NA,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.",2018-08-25T01:02:17Z,Chimp17,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Rwanda,Rwanda,NA,feces,2002-09,NA,ASM281958v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Chimpanzee associated circovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Pan,Pan troglodytes,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Pan troglodytes,Chimpanzee associated cyclovirus 1,GCF_002819925.1,NA,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.",2018-08-25T01:03:25Z,Chimp11,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,feces,2004,NA,ASM281992v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Chimpanzee associated cyclovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Hominoidea,Pan,Pan troglodytes,Euarchontoglires,Haplorrhini,Homininae,Hominoidea,,,,Simiiformes,,,Catarrhini,
Pantala flavescens,Dragonfly associated cyclovirus 2,GCF_000919015.1,NA,"Rosario,K., Dayaram,A., Marinov,M., Ware,J., Kraberger,S., Stainton,D., Breitbart,M., Varsani,A.",2015-02-22T18:55:12Z,FL1-NZ38-2010,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,"USA: St. Petersburg, Florida",USA,FL,NA,2010-09-15,NA,ViralProj243277,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Dragonfly associated cyclovirus 2,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Hexapoda,Insecta,Insecta,Palaeoptera,Odonata,Cavilabiata,Pantala,Pantala flavescens,,Epiprocta,,Cavilabiata,,Pterygota,,Anisoptera,,,,
Paphies subtriangulata,Avon-Heathcote Estuary associated circular virus 20,GCF_000954815.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T12:59:33Z,AHEaCV-20-NZ-2283TU-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277499,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 20,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Mactroidea,Paphies,Paphies subtriangulata,Imparidentia,,,Mactroidea,,Autobranchia,,,,,,
Paphies subtriangulata,Avon-Heathcote Estuary associated circular virus 21,GCF_000954455.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T12:58:23Z,AHEaCV-21-NZ-2050TU-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277498,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 21,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Mactroidea,Paphies,Paphies subtriangulata,Imparidentia,,,Mactroidea,,Autobranchia,,,,,,
Paphies subtriangulata,Avon-Heathcote Estuary associated circular virus 23,GCF_000955515.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:01:32Z,AHEaCV-23-NZ-2161TU-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277496,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 23,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Mactroidea,Paphies,Paphies subtriangulata,Imparidentia,,,Mactroidea,,Autobranchia,,,,,,
Paphies subtriangulata,Avon-Heathcote Estuary associated circular virus 6,GCF_000954915.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T12:59:55Z,AHEaCV-6-NZ-2194TU-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277522,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 6,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Mactroidea,Paphies,Paphies subtriangulata,Imparidentia,,,Mactroidea,,Autobranchia,,,,,,
Paphies subtriangulata,Avon-Heathcote Estuary associated circular virus 11,GCF_000955235.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:00:50Z,AHEaCV-11-NZ-2256TU-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277512,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 11,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Mactroidea,Paphies,Paphies subtriangulata,Imparidentia,,,Mactroidea,,Autobranchia,,,,,,
Paphies subtriangulata,Avon-Heathcote Estuary associated circular virus 22,GCF_000955175.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:00:36Z,AHEaCV-22-NZ-2138TU-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277497,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 22,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Mactroidea,Paphies,Paphies subtriangulata,Imparidentia,,,Mactroidea,,Autobranchia,,,,,,
Paphies subtriangulata,Avon-Heathcote Estuary associated circular virus 24,GCF_000954795.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T12:59:22Z,AHEaCV-24-NZ-2183TU-2913,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277495,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 24,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Mactroidea,Paphies,Paphies subtriangulata,Imparidentia,,,Mactroidea,,Autobranchia,,,,,,
Paphies subtriangulata,Avon-Heathcote Estuary associated circular virus 29,GCF_000954415.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T12:58:18Z,AHEaCV-29-NZ-1590TU-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277490,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 29,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Mactroidea,Paphies,Paphies subtriangulata,Imparidentia,,,Mactroidea,,Autobranchia,,,,,,
Paphies subtriangulata,Avon-Heathcote Estuary associated circular virus 14,GCF_000954495.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T12:58:32Z,AHEaCV-14-NZ-2438TU-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277509,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 14,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Mactroidea,Paphies,Paphies subtriangulata,Imparidentia,,,Mactroidea,,Autobranchia,,,,,,
Paphies subtriangulata,Avon-Heathcote Estuary associated circular virus 15,GCF_000955215.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:00:38Z,AHEaCV-15-NZ-2320TU-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277508,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 15,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Mactroidea,Paphies,Paphies subtriangulata,Imparidentia,,,Mactroidea,,Autobranchia,,,,,,
Paphies subtriangulata,Avon-Heathcote Estuary associated circular virus 8,GCF_000955275.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:01:04Z,AHEaCV-8-NZ-2216TU-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277520,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 8,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Mactroidea,Paphies,Paphies subtriangulata,Imparidentia,,,Mactroidea,,Autobranchia,,,,,,
Paphies subtriangulata,Avon-Heathcote Estuary associated circular virus 26,GCF_000955155.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:00:29Z,AHEaCV-26-NZ-2311TU-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277493,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 26,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Mactroidea,Paphies,Paphies subtriangulata,Imparidentia,,,Mactroidea,,Autobranchia,,,,,,
Paphies subtriangulata,Avon-Heathcote Estuary associated circular virus 28,GCF_000954775.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T12:59:19Z,AHEaCV-28-NZ-2208TU-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277491,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 28,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Mactroidea,Paphies,Paphies subtriangulata,Imparidentia,,,Mactroidea,,Autobranchia,,,,,,
Paphies subtriangulata,Avon-Heathcote Estuary associated circular virus 27,GCF_000955495.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:01:26Z,AHEaCV-27-NZ-2332TU-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277492,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 27,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Bivalvia,Bivalvia,Euheterodonta,Imparidentia,Mactroidea,Paphies,Paphies subtriangulata,Imparidentia,,,Mactroidea,,Autobranchia,,,,,,
Paramuricea placomus,Paramuricea placomus associated circular virus,GCF_001274125.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:03:14Z,I0351,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293728,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Paramuricea placomus associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Cnidaria,,Anthozoa,Anthozoa,,Alcyonacea,Plexauridae,Paramuricea,Paramuricea placomus,,Holaxonia,,,,Octocorallia,,,,,,
Penaeus duorarum,Farfantepenaeus duorarum pink shrimp associated circular virus,GCF_001274185.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:03:58Z,I0066,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293714,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Farfantepenaeus duorarum pink shrimp associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,,Eucarida,Penaeoidea,Penaeus,Penaeus duorarum,Eucarida,Dendrobranchiata,,Penaeoidea,,Eumalacostraca,,,,,,
Penaeus duorarum,Farfantepenaeus duorarum circovirus,GCF_003986365.1,NA,"Ng,T.F.F., Alavandi,S., Varsani,A., Burghart,S., Breitbart,M.",2019-02-12T13:12:39Z,FL2009,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,USA,USA,NA,NA,2009-07-01,NA,ASM398636v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Farfantepenaeus duorarum circovirus,unclassified Circovirus,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,,Eucarida,Penaeoidea,Penaeus,Penaeus duorarum,Eucarida,Dendrobranchiata,,Penaeoidea,,Eumalacostraca,,,,,,
Penaeus monodon,Penaeus monodon circovirus VN11,GCF_000913915.1,NA,"Pham,H.T., Yu,Q., Boisvert,M., Van,H.T., Bergoin,M., Tijssen,P., Pham,H., Vanh,H.",2015-02-22T18:49:55Z,VN11,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Viet Nam,Viet Nam,NA,NA,2012-09-09,NA,ViralProj229825,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Penaeus monodon circovirus VN11,unclassified Circovirus,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,,Eucarida,Penaeoidea,Penaeus,Penaeus monodon,Eucarida,Dendrobranchiata,,Penaeoidea,,Eumalacostraca,,,,,,
